,College/University,Link to website
0,Stanford University,https://www.stanford.edu/
1,Massachusetts Institute of Technology (MIT),https://web.mit.edu/
2,University of California Berkeley,https://www.berkeley.edu/
3,Harvard University,https://www.harvard.edu/
4,Princeton University,https://www.princeton.edu/
5,Carnegie Mellon University,/pennsylvania-education/carnegie-mellon-university-online/
6,The University of Texas at Austin,https://www.utexas.edu/
7,Cornell University,https://www.cornell.edu/
8,"University of California, Los Angeles (UCLA)",https://www.ucla.edu/
9,University of Southern California,/california-education/university-southern-california-online/
10,California Institute of Technology (Caltech),https://www.caltech.edu/
11,University of Toronto,https://www.utoronto.ca/
12,University of Illinois at Urbana-Champaign,https://illinois.edu/
13,University of California in San Diego,https://ucsd.edu/
14,University of Michigan,https://www.umich.edu/
15,"University of Maryland, College Park",https://www.umd.edu/
16,Swiss Federal Institute of Technology,https://www.ethz.ch/en.html
17,Technion-Israel Institute of Technology,https://www.technion.ac.il/en/home-2/
18,Ohio State University,https://www.osu.edu/
19,Tel Aviv University,https://english.tau.ac.il/
20,Purdue University,/indiana-education/purdue-university-online/
21,Georgia Institute of Technology,https://www.gatech.edu/
22,University of Cambridge,https://www.cam.ac.uk/
23,National Taiwan University,https://www.ntu.edu.tw/english/
24,Tsinghua University,http://ac.cs.tsinghua.edu.cn
25,"The Imperial College of Science, Technology, and Medicine",https://www.imperial.ac.uk/
26,King Abdulaziz University,https://www.kau.edu.sa/home_english.aspx
27,Technical University Munich,https://www.tum.de/en/homepage/
28,"University of California, Irvine",https://uci.edu/
29,"University of California, Davis",https://www.ucdavis.edu/
30,Columbia University,https://www.columbia.edu/
31,Arizona State University,/online-colleges/arizona-state-university-online/
32,Nanyang Technological University,https://www.ntu.edu.sg/Pages/home.aspx
33,University of Oxford,https://www.ox.ac.uk/
34,Northwestern University,/online-colleges/northwestern-university-online/
35,Swiss Federal Institute of Technology Lausanne,https://www.epfl.ch/en/home/
36,New York University,https://www.nyu.edu/
37,The Chinese University of Hong Kong,https://www.kau.edu.sa/home_english.aspx
38,University of North Carolina at Chapel Hill,/north-carolina-education/university-north-carolina-online/
39,The Hong Kong University of Science and Technology,https://www.ust.hk/
40,"University of Minnesota, Twin Cities",https://twin-cities.umn.edu/
41,Zhejiang University,https://www.zju.edu.cn/english/
42,University of Granada,https://www.ugr.es/en/
43,University College London,https://www.ucl.ac.uk/
44,City University of Hong Kong,https://www.cityu.edu.hk/
45,University of British Columbia,https://www.ubc.ca/
46,University of Notre Dame,https://www.nd.edu/
47,The National University of Singapore,http://www.nus.edu.sg/
48,Shanghai Jiao Tong University,http://en.sjtu.edu.cn/
49,Yale University,https://www.yale.edu/
50,University of Washington,https://www.washington.edu/
51,Duke University,/north-carolina-education/duke-university-online/
52,University of Colorado at Boulder,https://www.colorado.edu/
53,University of Copenhagen,https://www.ku.dk/english/
54,"University of California, Santa Barbara",https://www.ucsb.edu/
55,University of Manchester,https://www.manchester.ac.uk/
56,Rutgers University,https://newbrunswick.rutgers.edu/
57,Rice University,https://www.rice.edu/
58,KU Leuven,https://www.kuleuven.be/english/
59,University of Utah,https://www.utah.edu/
60,Michigan State University,https://msu.edu/
61,Texas A&M University,https://www.tamu.edu/
62,Peking University,http://english.pku.edu.cn/
63,Pennsylvania State University - University Park,https://www.psu.edu/
64,University of Delaware,https://www.udel.edu/
65,Xian Jiao Tong University,http://en.xjtu.edu.cn/
66,Huazhong University of Science and Technology,http://english.hust.edu.cn/
67,Harbin Institute of Technology,http://en.hit.edu.cn/
68,Simon Fraser University,https://www.sfu.ca/
69,The Hong Kong Polytechnic University,https://www.polyu.edu.hk/web/en/home/
70,Eindhoven University of Technology,https://www.tue.nl/en/
71,National Chiao Tung University,https://www.nctu.edu.tw/index.php/en
72,Xidian University,https://en.xidian.edu.cn/
73,University of Jaen,https://www.ujaen.es/serv/vicint/home/index
74,King Abdullah University of Science and Technology,https://www.kaust.edu.sa/en
75,Johns Hopkins University,https://www.jhu.edu/
76,University of Pennsylvania,https://www.upenn.edu/
77,University of Wisconsin,https://www.wisc.edu/
78,The University of Edinburgh,https://www.ed.ac.uk/home
79,McGill University,https://www.mcgill.ca/
80,University of Bristol,https://www.bristol.ac.uk/
81,The Hebrew University of Jerusalem,https://new.huji.ac.il/en
82,Ghent University,https://www.ugent.be/en
83,Brown University,https://www.brown.edu/
84,Weizmann Institute of Science,https://www.weizmann.ac.il/pages/
85,University of New South Wales,https://www.unsw.edu.au/
86,University of Alberta,https://www.ualberta.ca/
87,University of Southampton,https://www.southampton.ac.uk/
88,Technical University of Denmark,https://www.dtu.dk/english
89,Sapienza University of Rome,https://en.uniroma1.it/
90,The University of Science and Technology of China,https://en.ustc.edu.cn/
91,University of Illinois at Chicago,https://www.uic.edu/
92,University of Hong Kong,https://www.hku.hk/
93,University of Waterloo,https://uwaterloo.ca/
94,Korea Advanced Institute of Science and Technology,https://www.kaist.edu/html/en/
95,University of Houston,https://www.uh.edu/
96,Dalian University of Technology,http://en.dlut.edu.cn/
97,Wuhan University,https://en.whu.edu.cn/
98,New Jersey Institute of Technology,/online-colleges/new-jersey-institute-technology-online/
